Symbol|Security Name|Financial Status
AAPL24|Apple Inc. Senior Notes Due 2024|N
AAPL25|Apple Inc. Senior Notes Due 2025|N
AAPL25A|Apple Inc. 0.000% Notes due 2025|N
AAPL26|Apple Inc. Senior Notes Due 2026|N
AAPL27|Apple Inc. Senior Notes Due 2017|N
AAPL29|Apple Inc. Senior Notes 2029|N
AAPL29A|Apple Inc. Senior Notes Due 29 1.375|N
AAPL31|Apple Inc. 0.500% Notes due 2031|N
AAPL42|Apple Inc. Senior Notes Due 2042|N
AMGN26|Amgen Inc. 2.000% Senior Notes due 2026|N
AVY25|Avery Dennison Corporation 1.250% Senior Notes due 2025|N
AZN/23|Astrazeneca PLC 7.000% Notes Due 2023|N
AZN23|Astrazeneca PLC 3.500% Notes due 2023|N
AZN23A|Astrazeneca PLC Floating Rate Notes due 2023|N
AZN24|AstraZeneca PLC AstraZeneca Finance LLC $1,600,000,000 0.700% Notes due 2024|N
AZN25|Astrazeneca PLC 3.375% Notes Due 2025|N
AZN26|Astrazeneca PLC 0.700% Notes due 2026|N
AZN26A|AstraZeneca PLC AstraZeneca Finance LLC $1,250,000,000 1.200% Notes due 2026|N
AZN27A|Astrazeneca PLC 3.125% Notes Due 2027|N
AZN28|AstraZeneca PLC AstraZeneca Finance LLC $1,250,000,000 1.750% Notes due 2028|N
AZN28A|AstraZeneca PLC AstraZeneca Finance LLC $1,100,000,000 4.875% Notes due 2028|N
AZN29|Astrazeneca PLC 4.000% Notes Due 2029|N
AZN30|Astrazeneca PLC 1.375% Notes due 2030|N
AZN30A|AstraZeneca PLC AstraZeneca Finance LLC $650,000,000 4.900% Notes due 2030|N
AZN31|AstraZeneca PLC AstraZeneca Finance LLC $750,000,000 2.250% Notes due 2031|N
AZN33|AstraZeneca PLC AstraZeneca Finance LLC $500,000,000 4.875% Notes due 2033|N
AZN37|Astrazeneca PLC 6.450% Notes due 2037|N
AZN42|Astrazeneca PLC 4.000% Notes due 2042|N
AZN45|Astrazeneca PLC 4.375% Notes due 2045|N
AZN48|Astrazeneca PLC 4.375% Notes due 2048|N
AZN50|Astrazeneca PLC 2.125% Notes Due 2050|N
AZN51|AstraZeneca PLC 3.000% Notes due 2051|N
BKNG24|Booking Holdings Inc. Senior Notes due 2024|N
BKNG25|Booking Holdings Inc. 0.100% Senior Notes Due 2025|N
BKNG26|Booking Holdings Inc. 4.000% Senior Notes due 2026|N
BKNG27|Booking Holdings Inc. Senior Notes due 2027|N
BKNG28|Booking Holdings Inc. 0.500% Senior Notes due 2028|N
BKNG28A|Booking Holdings Inc. 3.625% Senior Unsecured Notes due 2028|N
BKNG29|Booking Holdings Inc. 4.250% Senior Notes due 2029|N
BKNG31|Booking Holdings Inc. 4.500% Senior Notes due 2031|N
BKNG33|Booking Holdings Inc. 4.125% Senior Unsecured Notes due 2033|N
BKNG34|Booking Holdings Inc. 4.750% Senior Notes due 2034|N
BKR40|Baker Hughes Company Baker Hughes Holdings LLC $1,145,657,000 5.125% Senior Notes Due 2040|N
CMCS26|Comcast Corporation 0.000% Notes due 2026|N
CMCS27|Comcast Corporation Euro Notes due 2027|N
CMCS29|Comcast Corporation 1.5 Sterling Notes due 2029|N
CMCS29A|Comcast Corporation 0.250% Notes due 2029|N
CMCS32|Comcast Corporation 0.75 Euro Notes due 2032|N
CMCS36|Comcast Corporation 1.875 Sterling Notes due 2036|N
CMCS40|Comcast Corporation 1.25 Euro Notes due 2040|N
EEFT26|Euronet Worldwide, Inc. 1.375% Senior Notes due 2026|N
